duplicated_lines_density,functions,security_remediation_effort,sqale_rating,duplicated_files,line_coverage,violations,critical_violations,info_violations,uncovered_lines,complexity,minor_violations,duplicated_lines,security_hotspots_reviewed,sqale_index,bugs,ncloc,reliability_remediation_effort,false_positive_issues,reopened_issues,reliability_rating,sqale_debt_ratio,comment_lines_density,security_hotspots,security_review_rating,cognitive_complexity,duplicated_blocks,open_issues,blocker_violations,major_violations,development_cost,security_rating,effort_to_reach_maintainability_rating_a,comment_lines,confirmed_issues,files,wont_fix_issues,classes,statements,lines_to_cover,security_hotspots_reviewed_status,lines,coverage,code_smells,security_hotspots_to_review_status,vulnerabilities,file_complexity,HIGH_reliability_issues,MEDIUM_reliability_issues,LOW_reliability_issues,HIGH_maintainability_issues,MEDIUM_maintainability_issues,LOW_maintainability_issues,HIGH_security_issues,MEDIUM_security_issues,LOW_security_issues,GitHub Repo
20.1,2112,0,1.0,103,0.0,1811,462,56,32388,8594,568,10588,0.0,15580,56,37846,533,0,0,5.0,1.4,16.5,172,5.0,15109,417,1811,14,711,1135380,1.0,0,7490,0,295,0,307,33305,32388,0,52713,0.0,1755,172,0,29.1,25,52,4,458,677,620,0,0,18,https://github.com/ConvLab/ConvLab.git
0.8,307,0,1.0,1,0.0,136,28,7,3625,768,63,52,0.0,739,3,4334,12,0,0,5.0,0.6,19.1,4,5.0,759,2,136,1,37,130020,1.0,0,1023,0,59,0,36,3683,3625,0,6578,0.0,133,4,0,13.0,3,8,1,30,34,69,0,0,7,https://github.com/CorentinJ/Real-Time-Voice-Cloning.git
6.1,2162,0,1.0,59,0.0,495,58,35,18804,4175,302,2261,0.0,1689,26,23258,151,0,0,5.0,0.2,23.7,1,5.0,3047,161,495,5,95,697740,1.0,0,7241,0,312,0,536,19170,18804,0,37070,0.0,469,1,0,13.4,6,19,3,57,80,332,0,0,2,https://github.com/cornellius-gp/gpytorch.git
7.8,1744,0,1.0,35,0.0,2223,77,20,16282,3469,1640,2283,0.0,7649,13,20391,84,0,0,5.0,1.3,13.9,6,5.0,3155,150,2223,3,483,611730,1.0,0,3287,0,192,0,173,16503,16282,0,29398,0.0,2210,6,0,18.1,8,314,3,76,477,1657,0,0,310,https://github.com/cornell-zhang/heterocl.git
13.0,962,0,1.0,27,0.0,111,30,0,6172,1358,47,1966,100.0,701,0,10665,0,0,0,1.0,0.2,17.2,0,1.0,528,57,111,0,34,319950,1.0,0,2218,0,177,0,194,6355,6172,0,15113,0.0,111,0,0,7.7,0,13,0,30,34,47,0,0,13,https://github.com/cpnota/autonomous-learning-library.git
1.5,2936,0,1.0,23,0.0,402,84,25,20619,6265,165,1015,0.0,2218,31,30546,192,0,0,5.0,0.2,48.2,91,5.0,5735,53,402,8,120,916380,1.0,0,28432,0,470,0,623,21823,20619,0,67862,0.0,371,91,0,13.3,9,70,0,84,97,190,0,0,47,https://github.com/creme-ml/creme.git
2.4,113,0,1.0,1,0.0,28,6,0,1302,274,3,64,100.0,273,0,2030,0,0,0,1.0,0.4,11.5,0,1.0,290,4,28,0,19,60900,1.0,0,263,0,44,0,23,1328,1302,0,2626,0.0,28,0,0,6.2,0,17,0,6,19,3,0,0,17,https://github.com/CyberZHG/keras-bert.git
64.4,222,0,1.0,14,0.0,267,43,0,3317,728,66,3456,0.0,1388,5,4229,43,0,0,3.0,1.1,9.1,24,5.0,1004,183,267,0,158,126870,1.0,0,423,0,22,0,44,3362,3317,0,5369,0.0,262,24,0,33.1,0,108,0,43,153,66,0,0,103,https://github.com/DagnyT/hardnet.git
4.6,729,10,1.0,24,0.0,297,17,6,7191,1529,122,806,0.0,1281,1,10409,5,0,0,3.0,0.4,31.3,4,5.0,1261,35,297,0,152,312270,4.0,0,4747,0,154,0,102,7415,7191,0,17688,0.0,294,4,2,9.9,33,75,0,15,144,128,2,0,74,https://github.com/danielegrattarola/spektral.git
0.0,31,0,1.0,0,0.0,1,1,0,165,38,0,0,100.0,6,0,285,0,0,0,1.0,0.1,67.3,0,1.0,9,0,1,0,0,8550,1.0,0,587,0,14,0,10,186,165,0,1122,0.0,1,0,0,2.7,0,0,0,1,0,0,0,0,0,https://github.com/databricks/spark-deep-learning.git
